timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-13 07:00:00+00:00,42690.0,7,1,0,0.7415827135749072
2015-01-13 08:00:00+00:00,47950.0,8,1,0,0.834062978005169
2015-01-13 09:00:00+00:00,48249.0,9,1,0,0.8393199360022505
2015-01-13 10:00:00+00:00,48635.0,10,1,0,0.8461065105402887
2015-01-13 11:00:00+00:00,48781.0,11,1,0,0.8486734532412047
2015-01-13 12:00:00+00:00,49521.0,12,1,0,0.8616839847389982
2015-01-13 13:00:00+00:00,49834.0,13,1,0,0.8671870879265784
2015-01-13 14:00:00+00:00,49758.0,14,1,0,0.8658508711781564
2015-01-13 15:00:00+00:00,49406.0,15,1,0,0.8596620778170438
2015-01-13 16:00:00+00:00,51126.0,16,1,0,0.8899027726497529
2015-01-13 17:00:00+00:00,54694.0,17,1,0,0.9526346326283032
2015-01-13 18:00:00+00:00,54590.0,18,1,0,0.9508061254988835
2015-01-13 19:00:00+00:00,53766.0,19,1,0,0.9363187228580973
2015-01-13 20:00:00+00:00,51200.0,20,1,0,0.8912038257995323
2015-01-13 21:00:00+00:00,47712.0,21,1,0,0.8298785097666895
2015-01-13 22:00:00+00:00,43344.0,22,1,0,0.7530812103310652
2015-01-13 23:00:00+00:00,38944.0,23,1,0,0.675721293317158
2015-01-14 00:00:00+00:00,35572.0,0,2,0,0.616435466005591
2015-01-14 01:00:00+00:00,35278.0,1,2,0,0.6112664170051163
2015-01-14 02:00:00+00:00,33444.0,2,2,0,0.5790213970497741
2015-01-14 03:00:00+00:00,32794.0,3,2,0,0.5675932274909015
2015-01-14 04:00:00+00:00,31657.0,4,2,0,0.547602721662535
2015-01-14 05:00:00+00:00,31798.0,5,2,0,0.5500817553668442
2015-01-14 06:00:00+00:00,36028.0,6,2,0,0.6244527664961232
2015-01-14 07:00:00+00:00,44182.0,7,2,0,0.7678147581623503
2015-01-14 08:00:00+00:00,49558.0,8,2,0,0.8623345113138878
2015-01-14 09:00:00+00:00,50139.0,9,2,0,0.8725495367195879
2015-01-14 10:00:00+00:00,50615.0,10,2,0,0.8809184731965469
2015-01-14 11:00:00+00:00,50258.0,11,2,0,0.8746417708388277
2015-01-14 12:00:00+00:00,50306.0,12,2,0,0.8754856972062521
2015-01-14 13:00:00+00:00,50344.0,13,2,0,0.8761538055804631
2015-01-14 14:00:00+00:00,50354.0,14,2,0,0.8763296235736765
